date,sport,activity type,duration minutes,club name,club location,club map link,session rating,racket,partner,oponents,notes
2023-03-05,padel,friendly,120,Padel Haus Williamsburg,"307 Kent Ave, Brooklyn, NY 11249, United States",https://maps.app.goo.gl/f7X6WofMeypWVYVD6,,HEAD Speed Elite,,,
2023-02-12,padel,tournament,144,Padel Haus Williamsburg,"307 Kent Ave, Brooklyn, NY 11249, United States",https://maps.app.goo.gl/f7X6WofMeypWVYVD6,,HEAD Speed Elite,,,
2023-02-05,padel,friendly,126,Padel Haus Williamsburg,"307 Kent Ave, Brooklyn, NY 11249, United States",https://maps.app.goo.gl/f7X6WofMeypWVYVD6,,HEAD Speed Elite,,,
2023-01-29,padel,friendly,120,Padel Haus Williamsburg,"307 Kent Ave, Brooklyn, NY 11249, United States",https://maps.app.goo.gl/f7X6WofMeypWVYVD6,,HEAD Speed Elite,,,
2023-01-22,padel,friendly,115,Padel Haus Williamsburg,"307 Kent Ave, Brooklyn, NY 11249, United States",https://maps.app.goo.gl/f7X6WofMeypWVYVD6,,HEAD Speed Elite,,,
2023-01-15,padel,friendly,115,Padel Haus Williamsburg,"307 Kent Ave, Brooklyn, NY 11249, United States",https://maps.app.goo.gl/f7X6WofMeypWVYVD6,,HEAD Speed Elite,,,
2022-12-16,tennis,,90,,,,,Head Graphene 360 Radical MP,,,
2022-11-06,tennis,,60,,,,,Head Graphene 360 Radical MP,,,
2022-10-10,tennis,,30,,,,,Head Graphene 360 Radical MP,,,
2022-10-09,tennis,,45,,,,,Head Graphene 360 Radical MP,,,
2022-09-25,tennis,,70,,,,,Head Graphene 360 Radical MP,,,
2022-09-21,tennis,,37,,,,,Head Graphene 360 Radical MP,,,
2022-09-19,tennis,,25,,,,,Head Graphene 360 Radical MP,,,
2022-09-05,tennis,,130,,,,,Head Graphene 360 Radical MP,,,
2022-08-28,tennis,,31,,,,,Head Graphene 360 Radical MP, ,,
2022-08-21,tennis,,52,,,,,Head Graphene 360 Radical MP,,,
2022-08-19,tennis,,52,,,,,Head Graphene 360 Radical MP,,,
2022-08-14,tennis,,36,,,,,Head Graphene 360 Radical MP,,,
2022-08-12,tennis,,48,,,,,Babolat Pure Strike,,,
2022-08-07,tennis,,34,,,,,Babolat Pure Strike,,,
2022-08-05,tennis,,60,,,,,Babolat Pure Strike,,,
2022-07-24,tennis,,60,,,,,Babolat Pure Strike,,,
2022-07-22,tennis,,56,,,,,Babolat Pure Strike,,,
2022-07-15,tennis,,31,,,,,Babolat Pure Strike,,,
2022-06-18,padel,,140,,,,,NA,,,
2022-06-15,tennis,,68,,,,,Babolat Pure Strike,,,
2022-06-13,tennis,,46,,,,,Babolat Pure Strike,,,
2022-05-30,tennis,,77,,,,,Babolat Pure Strike,,,
2022-05-27,tennis,,52,,,,,Babolat Pure Strike,,,
2022-05-23,tennis,,44,,,,,Babolat Pure Strike,,,
2022-05-20,tennis,,43,,,,,Babolat Pure Strike,,,
